Student Name,Phone Number,Email ID,Admission Type,Courses Taken,Tenth YOP,Tenth Percentage,Twelth YOP,Twelth Percentage,Degree Yop,Degree Stream,Degree Percentage,Masters Degree YOP,Masters Degree Stream,Masters Degree Percentage,Course_Enrollment_Date
Stud_00041,6878756014,Stud_00041@gmail.com,PAID,Python Data Science,2018,63.17,2020,69.87,2023,Bsc,90.81,2025,ME,44.0,2025-02-05
Stud_00042,8036113084,Stud_00042@gmail.com,PAID,Python Selenium,2017,94.91,2019,61.49,2022,Bsc,78.93,2024,MTech,65.0,2024-06-26
Stud_00043,6104398937,Stud_00043@gmail.com,PAID,Python Data Analytics,2018,66.39,2020,66.06,2023,BCA,67.24,2025,MCA,41.0,2025-06-27
Stud_00044,7780054170,Stud_00044@gmail.com,INC,Python FullStack Development,2018,88.56,2020,66.47,2023,Bcom,65.19,2025,MCA,58.0,2025-05-12
Stud_00045,9845817539,Stud_00045@gmail.com,INC,Python Selenium,2019,62.89,2021,86.57,2024,BCA,85.35,2026,MCA,68.0,2026-04-08
Stud_00046,6100957211,Stud_00046@gmail.com,PAID,Python Data Analytics,2020,67.53,2022,94.35,2025,Bsc,78.19,2027,MCA,63.0,2026-02-02
Stud_00047,8758386446,Stud_00047@gmail.com,INC,Python Data Science,2017,89.81,2019,69.45,2023,BE,79.83,0,,,2023-06-06
Stud_00048,7023077496,Stud_00048@gmail.com,PAID,Python Selenium,2018,90.33,2020,61.64,2023,Bcom,72.15,2025,MTech,76.0,2025-03-12
Stud_00049,8637202251,Stud_00049@gmail.com,PAID,Python FullStack Development,2019,71.42,2021,71.65,2025,BTech,76.48,2027,MTech,39.0,2026-04-01
Stud_00050,6459758541,Stud_00050@gmail.com,INC,Python Data Science,2018,78.21,2020,78.71,2024,BTech,73.08,2026,ME,77.0,2026-03-27
Stud_00051,8980741164,Stud_00051@gmail.com,INC,Python Data Analytics,2018,65.79,2020,75.03,2024,BE,71.72,2026,MCA,75.0,2026-10-24
Stud_00052,9909745401,Stud_00052@gmail.com,PAID,Python Data Analytics,2020,83.35,2022,65.0,2026,BE,70.71,2028,MTech,36.0,2026-03-09
Stud_00053,7593165849,Stud_00053@gmail.com,PAID,Python FullStack Development,2019,74.66,2021,82.1,2025,BE,79.65,0,,,2025-10-06
Stud_00054,6076789970,Stud_00054@gmail.com,INC,Python Selenium,2018,77.22,2020,69.76,2024,BE,91.76,2026,ME,43.0,2026-11-19
Stud_00055,7032847565,Stud_00055@gmail.com,PAID,Python FullStack Development,2020,86.96,2022,86.09,2026,BTech,67.73,2028,MTech,77.0,2026-04-09
Stud_00056,8671193497,Stud_00056@gmail.com,INC,Python Data Science,2020,71.31,2022,79.57,2026,BTech,74.08,2028,MTech,56.0,2026-07-24
Stud_00057,8608147787,Stud_00057@gmail.com,PAID,Python Selenium,2019,97.0,2021,79.24,2024,BBA,68.78,2026,ME,73.0,2026-06-13
Stud_00058,7814110266,Stud_00058@gmail.com,INC,Python Data Analytics,2018,75.44,2020,69.86,2023,Bsc,72.65,0,,,2023-07-27
Stud_00059,6875615485,Stud_00059@gmail.com,PAID,Python Data Analytics,2018,96.79,2020,89.96,2023,BCA,98.63,2025,MTech,39.0,2025-05-27
Stud_00060,6658064858,Stud_00060@gmail.com,PAID,Python Data Science,2017,89.35,2019,96.94,2022,Bsc,68.58,2024,ME,98.0,2024-10-27
Stud_00061,7770911674,Stud_00061@gmail.com,PAID,Python Selenium,2017,93.0,2019,93.13,2022,Bcom,76.48,0,,,2022-05-05
Stud_00062,8930262323,Stud_00062@gmail.com,INC,Python Data Analytics,2019,97.84,2021,62.44,2024,BBA,64.94,2026,MCA,62.0,2026-09-21
Stud_00063,7214620936,Stud_00063@gmail.com,INC,Python Data Science,2020,78.81,2022,82.23,2025,BBA,75.94,2027,MCA,87.0,2026-04-24
Stud_00064,9453179400,Stud_00064@gmail.com,INC,Python Selenium,2018,89.72,2020,74.11,2024,BE,63.81,2026,MCA,80.0,2026-09-07
Stud_00065,7394655294,Stud_00065@gmail.com,INC,Python Selenium,2017,61.99,2019,75.87,2022,BCA,74.44,2024,MTech,85.0,2024-04-14
Stud_00066,9963508876,Stud_00066@gmail.com,PAID,Python Selenium,2020,76.09,2022,82.3,2025,BCA,82.54,2027,ME,37.0,2026-02-18
Stud_00067,9883626869,Stud_00067@gmail.com,INC,Python Data Science,2019,69.76,2021,71.25,2024,BBA,92.01,2026,MCA,66.0,2026-11-28
Stud_00068,9010674958,Stud_00068@gmail.com,INC,Python Data Science,2017,67.63,2019,81.23,2023,BTech,97.5,2025,MTech,59.0,2025-08-06
Stud_00069,9287624511,Stud_00069@gmail.com,PAID,Python Data Analytics,2018,81.5,2020,91.04,2024,BTech,95.56,2026,ME,49.0,2026-08-17
Stud_00070,7178049357,Stud_00070@gmail.com,PAID,Python FullStack Development,2020,77.56,2022,94.3,2025,Bsc,81.22,2027,MTech,59.0,2026-10-27
Stud_00071,8914673127,Stud_00071@gmail.com,INC,Python Data Science,2020,79.49,2022,67.46,2025,BBA,72.44,2027,MCA,81.0,2026-01-20
Stud_00072,8941190788,Stud_00072@gmail.com,PAID,Python Data Analytics,2020,80.71,2022,73.64,2025,BBA,70.32,2027,MTech,86.0,2026-05-22
Stud_00073,6271847546,Stud_00073@gmail.com,INC,Python Data Science,2019,80.3,2021,94.57,2024,BBA,77.9,2026,ME,71.0,2026-05-26
Stud_00074,7345106366,Stud_00074@gmail.com,INC,Python Data Science,2019,64.71,2021,68.27,2024,Bcom,79.53,0,,,2024-05-17
Stud_00075,6412038540,Stud_00075@gmail.com,INC,Python Selenium,2018,62.97,2020,77.72,2023,Bcom,94.73,0,,,2023-05-14
Stud_00076,9986694745,Stud_00076@gmail.com,INC,Python Data Science,2019,88.46,2021,91.53,2024,Bcom,91.21,2026,ME,47.0,2026-06-19
Stud_00077,8454971264,Stud_00077@gmail.com,PAID,Python FullStack Development,2019,69.29,2021,88.47,2024,BBA,84.55,2026,MCA,37.0,2026-05-20
Stud_00078,9646331975,Stud_00078@gmail.com,INC,Python Data Analytics,2019,77.13,2021,92.61,2024,Bsc,73.58,0,,,2024-05-16
Stud_00079,6795797835,Stud_00079@gmail.com,INC,Python Data Science,2018,82.63,2020,86.72,2023,BBA,86.03,0,,,2023-08-07
Stud_00080,8397705880,Stud_00080@gmail.com,INC,Python FullStack Development,2020,90.88,2022,80.97,2026,BTech,96.42,0,,,2026-09-22
Stud_00081,8167465573,Stud_00081@gmail.com,INC,Python Selenium,2018,93.96,2020,90.49,2023,Bcom,92.13,2025,MCA,88.0,2025-06-13
Stud_00082,8449416737,Stud_00082@gmail.com,INC,Python Data Analytics,2019,89.99,2021,81.23,2024,Bcom,62.64,2026,ME,73.0,2026-06-15
Stud_00083,6303496064,Stud_00083@gmail.com,PAID,Python FullStack Development,2018,94.56,2020,97.84,2023,BCA,90.42,2025,ME,45.0,2025-06-20
Stud_00084,8137091681,Stud_00084@gmail.com,PAID,Python Data Science,2020,82.03,2022,66.8,2025,BBA,69.43,2027,ME,53.0,2026-12-08
Stud_00085,6610856273,Stud_00085@gmail.com,INC,Python Data Science,2020,95.18,2022,93.01,2025,Bsc,67.63,0,,,2025-01-19
Stud_00086,7405638562,Stud_00086@gmail.com,PAID,Python FullStack Development,2019,64.84,2021,92.68,2025,BTech,63.42,0,,,2025-02-13
Stud_00087,6115911744,Stud_00087@gmail.com,PAID,Python Data Analytics,2019,76.16,2021,79.87,2025,BE,92.9,2027,ME,61.0,2026-10-12
Stud_00088,6776032802,Stud_00088@gmail.com,PAID,Python Data Science,2018,66.76,2020,79.01,2023,BCA,85.31,2025,MCA,39.0,2025-04-02
Stud_00089,7929007270,Stud_00089@gmail.com,PAID,Python Selenium,2020,95.39,2022,80.23,2025,Bsc,60.1,2027,MTech,36.0,2026-03-27
Stud_00090,8322362165,Stud_00090@gmail.com,PAID,Python Selenium,2018,87.32,2020,86.96,2023,BCA,91.73,0,,,2023-05-23
Stud_00091,6804572865,Stud_00091@gmail.com,INC,Python Data Science,2018,74.41,2020,63.4,2023,BBA,98.54,2025,MCA,44.0,2025-05-03
Stud_00092,8613545068,Stud_00092@gmail.com,INC,Python FullStack Development,2019,92.22,2021,79.43,2025,BE,70.19,2027,MTech,86.0,2026-10-06
Stud_00093,7336715894,Stud_00093@gmail.com,PAID,Python Data Analytics,2020,97.86,2022,81.74,2025,BCA,60.21,2027,ME,97.0,2026-07-25
Stud_00094,9518147423,Stud_00094@gmail.com,PAID,Python Selenium,2020,93.28,2022,62.2,2026,BE,77.94,2028,ME,61.0,2026-09-26
Stud_00095,6280492135,Stud_00095@gmail.com,INC,Python FullStack Development,2020,95.76,2022,81.29,2025,Bsc,90.94,2027,MTech,35.0,2026-02-26
Stud_00096,7403088424,Stud_00096@gmail.com,INC,Python Data Analytics,2020,79.43,2022,65.09,2025,BCA,65.17,2027,ME,79.0,2026-05-01
Stud_00097,6016368556,Stud_00097@gmail.com,PAID,Python Selenium,2017,78.91,2019,97.55,2022,Bsc,72.9,0,,,2022-07-18
Stud_00098,6244449639,Stud_00098@gmail.com,PAID,Python Selenium,2017,79.17,2019,76.21,2022,Bcom,69.07,0,,,2022-08-04
Stud_00099,8301782924,Stud_00099@gmail.com,PAID,Python Selenium,2018,92.47,2020,69.04,2024,BE,88.29,0,,,2024-06-20
Stud_00100,8790708687,Stud_00100@gmail.com,PAID,Python FullStack Development,2019,77.27,2021,78.52,2025,BE,87.84,2027,MCA,75.0,2026-08-23
Stud_00101,9657982023,Stud_00101@gmail.com,INC,Python Data Analytics,2018,73.01,2020,93.16,2023,Bcom,60.48,2025,ME,92.0,2025-12-28
Stud_00102,8040800095,Stud_00102@gmail.com,PAID,Python Data Analytics,2020,96.38,2022,78.41,2025,BCA,81.71,0,,,2025-02-01
Stud_00103,7394378464,Stud_00103@gmail.com,INC,Python FullStack Development,2017,77.32,2019,67.57,2022,BBA,75.59,2024,MCA,42.0,2024-05-27
Stud_00104,7169132448,Stud_00104@gmail.com,INC,Python Selenium,2018,77.28,2020,64.15,2023,Bsc,69.37,2025,MTech,51.0,2025-09-17
Stud_00105,6462746532,Stud_00105@gmail.com,INC,Python FullStack Development,2017,76.04,2019,62.29,2022,Bcom,92.75,2024,MCA,77.0,2024-12-18
Stud_00106,6946621428,Stud_00106@gmail.com,PAID,Python Data Science,2017,83.24,2019,80.27,2023,BTech,94.98,2025,MCA,61.0,2025-11-03
Stud_00107,6524450058,Stud_00107@gmail.com,PAID,Python Data Analytics,2017,78.72,2019,60.43,2022,BCA,78.57,2024,MTech,94.0,2024-10-18
Stud_00108,7379377835,Stud_00108@gmail.com,PAID,Python Selenium,2017,65.68,2019,90.89,2022,BCA,81.9,2024,MCA,38.0,2024-12-13
Stud_00109,7848271423,Stud_00109@gmail.com,PAID,Python Data Science,2019,96.39,2021,94.37,2024,Bsc,83.75,0,,,2024-05-11
Stud_00110,8447609934,Stud_00110@gmail.com,PAID,Python Data Science,2020,98.79,2022,62.57,2025,BCA,68.05,0,,,2025-09-24
Stud_00111,7070861002,Stud_00111@gmail.com,INC,Python Selenium,2019,98.21,2021,76.44,2024,Bcom,66.81,0,,,2024-02-23
Stud_00112,7243762930,Stud_00112@gmail.com,PAID,Python Data Science,2017,87.53,2019,65.48,2022,Bsc,68.41,0,,,2022-03-21
Stud_00113,6974821967,Stud_00113@gmail.com,INC,Python FullStack Development,2018,68.51,2020,78.05,2023,Bcom,94.17,0,,,2023-03-02
Stud_00114,8037114671,Stud_00114@gmail.com,INC,Python Data Analytics,2019,85.23,2021,60.53,2024,BBA,93.46,2026,ME,96.0,2026-12-04
Stud_00115,9492397871,Stud_00115@gmail.com,PAID,Python Data Analytics,2020,81.26,2022,66.67,2025,BCA,71.52,2027,MTech,71.0,2026-05-27
Stud_00116,9800265857,Stud_00116@gmail.com,INC,Python FullStack Development,2019,76.69,2021,91.17,2024,Bsc,80.63,2026,ME,43.0,2026-10-25
Stud_00117,9437298577,Stud_00117@gmail.com,PAID,Python Data Science,2020,69.16,2022,60.19,2025,Bcom,97.27,2027,MCA,68.0,2026-02-19
Stud_00118,7813876708,Stud_00118@gmail.com,PAID,Python Selenium,2020,92.86,2022,95.99,2025,Bcom,72.43,2027,MCA,95.0,2026-02-03
Stud_00119,9341575100,Stud_00119@gmail.com,PAID,Python Data Analytics,2017,90.94,2019,87.37,2022,Bcom,90.81,2024,MTech,69.0,2024-05-05
Stud_00120,9964671244,Stud_00120@gmail.com,INC,Python Selenium,2020,84.21,2022,73.19,2025,BBA,81.93,0,,,2025-10-18
Stud_00121,9901405277,Stud_00121@gmail.com,INC,Python Selenium,2020,94.9,2022,87.32,2026,BE,77.08,0,,,2026-12-22
Stud_00122,6980972967,Stud_00122@gmail.com,PAID,Python Selenium,2017,95.92,2019,87.33,2022,BCA,91.68,0,,,2022-01-02
Stud_00123,9006295912,Stud_00123@gmail.com,PAID,Python FullStack Development,2019,77.66,2021,81.37,2024,BCA,86.63,2026,ME,74.0,2026-05-07
Stud_00124,8586334348,Stud_00124@gmail.com,INC,Python Selenium,2018,93.75,2020,83.41,2024,BE,88.39,0,,,2024-08-11
Stud_00125,8086088091,Stud_00125@gmail.com,PAID,Python Selenium,2019,73.16,2021,68.26,2024,BCA,69.15,2026,ME,38.0,2026-06-08
Stud_00126,6142553693,Stud_00126@gmail.com,PAID,Python FullStack Development,2018,61.12,2020,85.16,2023,BCA,73.94,2025,MCA,89.0,2025-01-13
Stud_00127,7470378142,Stud_00127@gmail.com,INC,Python Data Science,2020,90.87,2022,74.5,2025,Bsc,70.63,2027,ME,67.0,2026-06-21
Stud_00128,8184369486,Stud_00128@gmail.com,PAID,Python FullStack Development,2018,97.28,2020,72.66,2024,BE,72.66,2026,ME,37.0,2026-04-26
Stud_00129,9880955442,Stud_00129@gmail.com,INC,Python Selenium,2018,75.33,2020,64.78,2024,BTech,94.39,0,,,2024-03-20
Stud_00130,9969336550,Stud_00130@gmail.com,INC,Python Selenium,2018,89.28,2020,81.71,2023,BBA,71.34,0,,,2023-06-04
Stud_00131,8461631957,Stud_00131@gmail.com,INC,Python Data Science,2017,60.82,2019,66.96,2023,BTech,75.87,2025,MTech,49.0,2025-11-10
Stud_00132,8931559370,Stud_00132@gmail.com,PAID,Python Selenium,2020,63.93,2022,64.51,2025,BCA,87.66,2027,MCA,72.0,2026-02-24
Stud_00133,8859328899,Stud_00133@gmail.com,PAID,Python Data Analytics,2019,83.32,2021,96.87,2025,BE,96.81,2027,ME,84.0,2026-12-18
Stud_00134,6616937933,Stud_00134@gmail.com,INC,Python Data Science,2020,68.82,2022,95.83,2025,Bsc,74.89,2027,MTech,77.0,2026-06-15
Stud_00135,9164751175,Stud_00135@gmail.com,PAID,Python Selenium,2019,95.13,2021,86.18,2024,BBA,91.08,2026,MTech,88.0,2026-04-16
Stud_00136,9734229441,Stud_00136@gmail.com,PAID,Python Data Analytics,2019,72.41,2021,62.84,2024,BCA,86.07,2026,ME,72.0,2026-03-02
Stud_00137,6455666719,Stud_00137@gmail.com,PAID,Python Data Science,2019,93.18,2021,92.02,2024,Bcom,81.68,2026,MCA,93.0,2026-02-08
Stud_00138,7130686269,Stud_00138@gmail.com,INC,Python Data Analytics,2018,91.8,2020,73.79,2024,BE,61.85,0,,,2024-12-06
Stud_00139,7406034484,Stud_00139@gmail.com,PAID,Python Data Analytics,2018,77.81,2020,79.39,2024,BTech,63.1,2026,MTech,98.0,2026-07-05
Stud_00140,8930619030,Stud_00140@gmail.com,INC,Python Selenium,2017,80.3,2019,88.35,2022,Bcom,93.85,0,,,2022-06-04
Stud_00141,9022257241,Stud_00141@gmail.com,INC,Python Data Science,2017,79.56,2019,91.89,2023,BE,66.68,0,,,2023-06-12
Stud_00142,6765164748,Stud_00142@gmail.com,INC,Python Data Analytics,2018,84.24,2020,60.23,2023,Bsc,97.13,2025,ME,70.0,2025-06-15
Stud_00143,7696677822,Stud_00143@gmail.com,INC,Python Data Analytics,2020,91.61,2022,79.62,2025,BCA,94.22,2027,MTech,96.0,2026-12-06
Stud_00144,7782341606,Stud_00144@gmail.com,INC,Python Data Analytics,2019,82.25,2021,60.04,2024,Bsc,91.0,2026,ME,82.0,2026-03-13
Stud_00145,9326670753,Stud_00145@gmail.com,PAID,Python Selenium,2019,92.24,2021,60.75,2024,Bcom,67.86,2026,MTech,41.0,2026-10-24
Stud_00146,8560605887,Stud_00146@gmail.com,INC,Python Data Science,2020,63.68,2022,86.54,2025,BCA,84.49,2027,MCA,68.0,2026-09-20
Stud_00147,7690701164,Stud_00147@gmail.com,PAID,Python Data Science,2020,81.86,2022,98.96,2026,BTech,96.13,2028,ME,47.0,2026-09-12
Stud_00148,6524723297,Stud_00148@gmail.com,PAID,Python FullStack Development,2018,64.41,2020,61.32,2023,BBA,96.3,2025,MTech,59.0,2025-10-02
Stud_00149,8989476239,Stud_00149@gmail.com,PAID,Python FullStack Development,2019,61.64,2021,73.77,2024,Bcom,64.31,2026,ME,63.0,2026-10-12
Stud_00150,9695104895,Stud_00150@gmail.com,PAID,Python FullStack Development,2017,83.62,2019,98.93,2022,BCA,68.86,2024,MTech,65.0,2024-02-23
Stud_00151,7993051691,Stud_00151@gmail.com,INC,Python Selenium,2020,94.67,2022,84.48,2025,BCA,67.18,2027,MTech,57.0,2026-01-27
Stud_00152,6297124828,Stud_00152@gmail.com,INC,Python Data Analytics,2020,71.4,2022,71.41,2025,Bcom,73.01,0,,,2025-12-22
Stud_00153,9030857300,Stud_00153@gmail.com,INC,Python FullStack Development,2020,77.93,2022,74.85,2025,Bsc,81.38,2027,MTech,90.0,2026-11-05
Stud_00154,9486902662,Stud_00154@gmail.com,PAID,Python Selenium,2017,81.53,2019,73.67,2023,BTech,80.18,2025,MTech,98.0,2025-06-15
Stud_00155,8757110664,Stud_00155@gmail.com,INC,Python FullStack Development,2019,68.96,2021,92.35,2024,Bsc,67.79,2026,MTech,47.0,2026-03-27
Stud_00156,6586116666,Stud_00156@gmail.com,INC,Python Selenium,2020,88.1,2022,80.59,2025,Bcom,89.43,2027,ME,53.0,2026-05-18
Stud_00157,7666853678,Stud_00157@gmail.com,PAID,Python Data Analytics,2017,76.12,2019,66.59,2022,BBA,89.32,2024,ME,79.0,2024-07-23
Stud_00158,7508479788,Stud_00158@gmail.com,PAID,Python FullStack Development,2017,81.52,2019,95.06,2022,BBA,74.66,2024,MTech,64.0,2024-04-12
Stud_00159,9726361761,Stud_00159@gmail.com,PAID,Python Data Science,2020,73.75,2022,61.21,2025,Bsc,98.3,2027,MCA,48.0,2026-05-03
Stud_00160,8292834160,Stud_00160@gmail.com,INC,Python Data Analytics,2018,93.03,2020,72.77,2023,BBA,67.4,2025,MTech,75.0,2025-01-20
Stud_00161,6914135452,Stud_00161@gmail.com,PAID,Python Selenium,2018,91.14,2020,93.9,2023,Bsc,60.41,2025,ME,80.0,2025-05-25
Stud_00162,9875766763,Stud_00162@gmail.com,INC,Python Selenium,2019,70.69,2021,67.67,2024,BCA,80.39,2026,MTech,90.0,2026-04-14
Stud_00163,9133980305,Stud_00163@gmail.com,PAID,Python Data Science,2018,98.9,2020,73.98,2024,BE,77.69,2026,MTech,94.0,2026-06-08
Stud_00164,9899192336,Stud_00164@gmail.com,PAID,Python Data Science,2018,96.91,2020,67.84,2024,BTech,81.81,2026,MTech,49.0,2026-11-24
Stud_00165,6521963979,Stud_00165@gmail.com,PAID,Python Data Science,2017,80.33,2019,67.69,2022,BCA,74.56,2024,ME,84.0,2024-09-19
Stud_00166,9629706842,Stud_00166@gmail.com,PAID,Python Selenium,2018,61.63,2020,93.86,2023,Bsc,90.18,2025,ME,39.0,2025-04-10
Stud_00167,9901565450,Stud_00167@gmail.com,PAID,Python Data Analytics,2019,85.26,2021,71.77,2024,BBA,72.08,2026,MTech,97.0,2026-03-21
Stud_00168,9313300106,Stud_00168@gmail.com,INC,Python Data Analytics,2018,87.12,2020,63.67,2024,BTech,98.52,2026,MCA,54.0,2026-03-13
Stud_00169,9558772086,Stud_00169@gmail.com,INC,Python Data Science,2020,72.31,2022,95.8,2025,Bcom,73.16,2027,MTech,42.0,2026-09-19
Stud_00170,6149719104,Stud_00170@gmail.com,INC,Python Selenium,2020,65.64,2022,97.48,2025,BBA,76.37,0,,,2025-04-10
Stud_00171,8027048263,Stud_00171@gmail.com,PAID,Python FullStack Development,2020,87.25,2022,60.66,2025,Bcom,67.65,0,,,2025-07-03
Stud_00172,7948735130,Stud_00172@gmail.com,PAID,Python Selenium,2018,77.8,2020,95.52,2024,BE,76.25,2026,ME,48.0,2026-09-17
Stud_00173,8626458035,Stud_00173@gmail.com,PAID,Python Selenium,2019,71.43,2021,65.22,2025,BE,76.46,2027,MCA,44.0,2026-01-25
Stud_00174,7384610858,Stud_00174@gmail.com,PAID,Python FullStack Development,2017,85.86,2019,67.38,2022,BBA,81.32,0,,,2022-12-10
Stud_00175,8849364725,Stud_00175@gmail.com,INC,Python FullStack Development,2019,94.96,2021,68.37,2024,Bsc,92.39,2026,ME,48.0,2026-05-06
Stud_00176,7583239787,Stud_00176@gmail.com,PAID,Python Selenium,2017,86.88,2019,90.1,2022,Bsc,74.72,2024,MCA,36.0,2024-12-26
Stud_00177,8387018376,Stud_00177@gmail.com,PAID,Python Data Analytics,2019,90.52,2021,74.56,2025,BE,95.03,2027,MCA,39.0,2026-05-19
